trip_id,date,city,station_start,rider_type,bike_type,duration_min,weather,temperature_c
132,2026-01-08,Bengaluru,BEN-10,Casual,Electric,27,Cloudy,27.7
133,2026-01-09,Coimbatore,COI-11,Member,Classic,17,Cloudy,25.5
134,2026-01-09,Coimbatore,COI-08,Member,Electric,17,Cloudy,25.5
135,2026-01-09,Coimbatore,COI-12,Member,Electric,12,Cloudy,25.5
136,2026-01-09,Chennai,CHE-09,Casual,Classic,21,Clear,28.5
137,2026-01-09,Chennai,CHE-06,Casual,Classic,37,Clear,28.5
138,2026-01-09,Chennai,CHE-02,Casual,Electric,22,Clear,28.5
139,2026-01-09,Chennai,CHE-11,Member,Classic,18,Clear,28.5
140,2026-01-09,Bengaluru,BEN-06,Member,Classic,12,Clear,25.0
141,2026-01-09,Bengaluru,BEN-05,Casual,Classic,41,Clear,25.0
142,2026-01-09,Bengaluru,BEN-04,Member,Classic,13,Clear,25.0
143,2026-01-09,Bengaluru,BEN-12,Member,Electric,10,Clear,25.0
144,2026-01-09,Bengaluru,BEN-08,Member,Electric,19,Clear,25.0
145,2026-01-09,Bengaluru,BEN-05,Casual,Classic,34,Clear,25.0
146,2026-01-09,Bengaluru,BEN-09,Member,Classic,25,Clear,25.0
147,2026-01-10,Coimbatore,COI-02,Member,Electric,22,Clear,26.7
148,2026-01-10,Coimbatore,COI-12,Casual,Classic,48,Clear,26.7
149,2026-01-10,Coimbatore,COI-08,Casual,Electric,43,Clear,26.7
150,2026-01-10,Coimbatore,COI-09,Member,Classic,26,Clear,26.7
151,2026-01-10,Coimbatore,COI-06,Casual,Electric,44,Clear,26.7
152,2026-01-10,Coimbatore,COI-09,Member,Classic,18,Clear,26.7
153,2026-01-10,Coimbatore,COI-03,Member,Classic,27,Clear,26.7
154,2026-01-10,Coimbatore,COI-02,Casual,Electric,43,Clear,26.7
155,2026-01-10,Chennai,CHE-08,Casual,Classic,63,Cloudy,27.0
156,2026-01-10,Chennai,CHE-08,Member,Classic,27,Cloudy,27.0
157,2026-01-10,Chennai,CHE-10,Member,Electric,26,Cloudy,27.0
158,2026-01-10,Chennai,CHE-04,Casual,Classic,42,Cloudy,27.0
159,2026-01-10,Chennai,CHE-04,Member,Electric,15,Cloudy,27.0
160,2026-01-10,Chennai,CHE-08,Casual,Classic,29,Cloudy,27.0
161,2026-01-10,Bengaluru,BEN-04,Member,Electric,9,Rain,28.1
162,2026-01-10,Bengaluru,BEN-02,Casual,Classic,18,Rain,28.1
163,2026-01-10,Bengaluru,BEN-08,Member,Classic,14,Rain,28.1
164,2026-01-10,Bengaluru,BEN-01,Casual,Classic,24,Rain,28.1
165,2026-01-10,Bengaluru,BEN-11,Member,Electric,12,Rain,28.1
166,2026-01-10,Bengaluru,BEN-11,Member,Classic,10,Rain,28.1
167,2026-01-10,Bengaluru,BEN-04,Casual,Electric,25,Rain,28.1
168,2026-01-10,Bengaluru,BEN-03,Casual,Electric,27,Rain,28.1
169,2026-01-10,Bengaluru,BEN-10,Member,Classic,12,Rain,28.1
170,2026-01-11,Coimbatore,COI-05,Member,Classic,31,Clear,25.1
171,2026-01-11,Coimbatore,COI-07,Casual,Classic,42,Clear,25.1
172,2026-01-11,Coimbatore,COI-01,Casual,Electric,41,Clear,25.1
173,2026-01-11,Coimbatore,COI-01,Member,Electric,26,Clear,25.1
174,2026-01-11,Coimbatore,COI-05,Casual,Electric,29,Clear,25.1
175,2026-01-11,Coimbatore,COI-08,Casual,Electric,45,Clear,25.1
176,2026-01-11,Coimbatore,COI-10,Casual,Classic,51,Clear,25.1
177,2026-01-11,Coimbatore,COI-07,Casual,Electric,51,Clear,25.1
178,2026-01-11,Chennai,CHE-08,Member,Classic,21,Clear,25.0
179,2026-01-11,Chennai,CHE-08,Member,Electric,25,Clear,25.0
180,2026-01-11,Chennai,CHE-02,Member,Classic,16,Clear,25.0
181,2026-01-11,Chennai,CHE-11,Casual,Classic,10,Clear,25.0
182,2026-01-11,Chennai,CHE-01,Casual,Classic,37,Clear,25.0
183,2026-01-11,Chennai,CHE-01,Member,Classic,23,Clear,25.0
184,2026-01-11,Chennai,CHE-05,Member,Classic,15,Clear,25.0
185,2026-01-11,Chennai,CHE-10,Casual,Electric,59,Clear,25.0
186,2026-01-11,Bengaluru,BEN-04,Member,Classic,33,Cloudy,24.2
187,2026-01-11,Bengaluru,BEN-03,Casual,Electric,35,Cloudy,24.2
188,2026-01-11,Bengaluru,BEN-09,Casual,Electric,41,Cloudy,24.2
189,2026-01-11,Bengaluru,BEN-08,Casual,Classic,29,Cloudy,24.2
190,2026-01-11,Bengaluru,BEN-10,Casual,Classic,41,Cloudy,24.2
191,2026-01-11,Bengaluru,BEN-07,Casual,Electric,45,Cloudy,24.2
192,2026-01-11,Bengaluru,BEN-05,Member,Electric,19,Cloudy,24.2
193,2026-01-11,Bengaluru,BEN-11,Casual,Classic,36,Cloudy,24.2
194,2026-01-12,Coimbatore,COI-09,Member,Classic,14,Rain,25.1
195,2026-01-12,Coimbatore,COI-04,Member,Electric,16,Rain,25.1
196,2026-01-12,Coimbatore,COI-07,Member,Classic,5,Rain,25.1
197,2026-01-12,Coimbatore,COI-07,Member,Electric,9,Rain,25.1
198,2026-01-12,Coimbatore,COI-11,Casual,Electric,11,Rain,25.1
199,2026-01-12,Coimbatore,COI-10,Casual,Classic,25,Rain,25.1
200,2026-01-12,Chennai,CHE-08,Member,Classic,12,Rain,29.7
201,2026-01-12,Chennai,CHE-02,Member,Classic,16,Rain,29.7
202,2026-01-12,Chennai,CHE-06,Member,Electric,6,Rain,29.7
203,2026-01-12,Chennai,CHE-11,Member,Classic,13,Rain,29.7
204,2026-01-12,Chennai,CHE-06,Casual,Classic,21,Rain,29.7
205,2026-01-12,Bengaluru,BEN-12,Member,Electric,19,Rain,22.7
206,2026-01-12,Bengaluru,BEN-11,Member,Electric,6,Rain,22.7
207,2026-01-12,Bengaluru,BEN-01,Casual,Classic,21,Rain,22.7
208,2026-01-12,Bengaluru,BEN-05,Member,Electric,13,Rain,22.7
209,2026-01-12,Bengaluru,BEN-11,Member,Classic,11,Rain,22.7
210,2026-01-12,Bengaluru,BEN-02,Casual,Classic,24,Rain,22.7
211,2026-01-12,Bengaluru,BEN-10,Member,Classic,10,Rain,22.7
212,2026-01-13,Coimbatore,COI-08,Member,Electric,13,Clear,26.4
213,2026-01-13,Coimbatore,COI-06,Casual,Electric,37,Clear,26.4
214,2026-01-13,Coimbatore,COI-07,Casual,Classic,39,Clear,26.4
215,2026-01-13,Coimbatore,COI-08,Member,Classic,12,Clear,26.4
216,2026-01-13,Chennai,CHE-05,Member,Electric,34,Clear,28.0
217,2026-01-13,Chennai,CHE-11,Member,Electric,18,Clear,28.0
218,2026-01-13,Chennai,CHE-10,Casual,Electric,33,Clear,28.0
219,2026-01-13,Bengaluru,BEN-04,Casual,Classic,34,Cloudy,28.0
220,2026-01-13,Bengaluru,BEN-12,Member,Electric,15,Cloudy,28.0
221,2026-01-13,Bengaluru,BEN-11,Casual,Electric,34,Cloudy,28.0
222,2026-01-13,Bengaluru,BEN-08,Member,Classic,20,Cloudy,28.0
223,2026-01-13,Bengaluru,BEN-06,Member,Classic,25,Cloudy,28.0
224,2026-01-13,Bengaluru,BEN-03,Casual,Classic,45,Cloudy,28.0
225,2026-01-13,Bengaluru,BEN-05,Casual,Electric,26,Cloudy,28.0
226,2026-01-14,Coimbatore,COI-12,Member,Electric,22,Clear,27.7
227,2026-01-14,Coimbatore,COI-04,Casual,Electric,29,Clear,27.7
228,2026-01-14,Coimbatore,COI-07,Casual,Electric,33,Clear,27.7
229,2026-01-14,Coimbatore,COI-01,Casual,Electric,23,Clear,27.7
230,2026-01-14,Chennai,CHE-10,Member,Electric,24,Clear,27.5
231,2026-01-14,Chennai,CHE-08,Member,Electric,13,Clear,27.5
232,2026-01-14,Chennai,CHE-09,Member,Electric,23,Clear,27.5
233,2026-01-14,Chennai,CHE-08,Member,Electric,14,Clear,27.5
234,2026-01-14,Chennai,CHE-07,Casual,Classic,23,Clear,27.5
235,2026-01-14,Bengaluru,BEN-03,Member,Classic,26,Clear,28.4
236,2026-01-14,Bengaluru,BEN-12,Member,Classic,23,Clear,28.4
237,2026-01-14,Bengaluru,BEN-07,Member,Classic,12,Clear,28.4
238,2026-01-14,Bengaluru,BEN-10,Member,Electric,14,Clear,28.4
239,2026-01-15,Coimbatore,COI-06,Member,Classic,9,Rain,24.5
240,2026-01-15,Coimbatore,COI-09,Member,Electric,11,Rain,24.5
241,2026-01-15,Coimbatore,COI-02,Casual,Electric,23,Rain,24.5
242,2026-01-15,Coimbatore,COI-02,Casual,Electric,21,Rain,24.5
243,2026-01-15,Coimbatore,COI-06,Member,Electric,10,Rain,24.5
244,2026-01-15,Coimbatore,COI-10,Member,Classic,10,Rain,24.5
245,2026-01-15,Chennai,CHE-03,Member,Classic,21,Clear,29.5
246,2026-01-15,Chennai,CHE-05,Casual,Classic,27,Clear,29.5
247,2026-01-15,Chennai,CHE-03,Casual,Classic,36,Clear,29.5
248,2026-01-15,Chennai,CHE-03,Member,Electric,20,Clear,29.5
249,2026-01-15,Bengaluru,BEN-07,Member,Classic,18,Clear,27.6
250,2026-01-15,Bengaluru,BEN-08,Member,Electric,20,Clear,27.6
251,2026-01-15,Bengaluru,BEN-04,Member,Classic,14,Clear,27.6
252,2026-01-15,Bengaluru,BEN-11,Casual,Classic,27,Clear,27.6
253,2026-01-16,Coimbatore,COI-08,Member,Classic,12,Clear,28.8
254,2026-01-16,Coimbatore,COI-02,Casual,Classic,39,Clear,28.8
255,2026-01-16,Coimbatore,COI-10,Member,Classic,22,Clear,28.8
256,2026-01-16,Coimbatore,COI-10,Member,Classic,22,Clear,28.8
257,2026-01-16,Coimbatore,COI-12,Member,Classic,16,Clear,28.8
258,2026-01-16,Chennai,CHE-04,Casual,Electric,18,Rain,28.9
259,2026-01-16,Chennai,CHE-07,Member,Electric,6,Rain,28.9
260,2026-01-16,Chennai,CHE-07,Member,Classic,13,Rain,28.9
261,2026-01-16,Bengaluru,BEN-02,Member,Electric,26,Cloudy,25.2
262,2026-01-16,Bengaluru,BEN-06,Member,Electric,21,Cloudy,25.2
263,2026-01-16,Bengaluru,BEN-06,Casual,Classic,23,Cloudy,25.2
264,2026-01-16,Bengaluru,BEN-11,Member,Classic,15,Cloudy,25.2
265,2026-01-16,Bengaluru,BEN-05,Casual,Classic,34,Cloudy,25.2
266,2026-01-16,Bengaluru,BEN-10,Member,Classic,17,Cloudy,25.2
267,2026-01-17,Coimbatore,COI-05,Casual,Classic,35,Clear,26.0
268,2026-01-17,Coimbatore,COI-09,Casual,Electric,38,Clear,26.0
269,2026-01-17,Coimbatore,COI-01,Casual,Electric,29,Clear,26.0
270,2026-01-17,Coimbatore,COI-12,Casual,Electric,31,Clear,26.0
271,2026-01-17,Coimbatore,COI-06,Member,Classic,21,Clear,26.0
272,2026-01-17,Coimbatore,COI-03,Casual,Classic,32,Clear,26.0
273,2026-01-17,Coimbatore,COI-01,Casual,Classic,49,Clear,26.0
274,2026-01-17,Chennai,CHE-06,Casual,Classic,51,Cloudy,26.4
275,2026-01-17,Chennai,CHE-01,Member,Classic,30,Cloudy,26.4
276,2026-01-17,Chennai,CHE-01,Member,Electric,20,Cloudy,26.4
277,2026-01-17,Chennai,CHE-08,Casual,Classic,34,Cloudy,26.4
278,2026-01-17,Chennai,CHE-09,Casual,Classic,30,Cloudy,26.4
279,2026-01-17,Chennai,CHE-08,Member,Classic,21,Cloudy,26.4
280,2026-01-17,Bengaluru,BEN-05,Casual,Classic,55,Clear,25.5
281,2026-01-17,Bengaluru,BEN-02,Casual,Electric,41,Clear,25.5
282,2026-01-17,Bengaluru,BEN-03,Member,Electric,18,Clear,25.5
283,2026-01-17,Bengaluru,BEN-11,Member,Classic,23,Clear,25.5
284,2026-01-17,Bengaluru,BEN-12,Casual,Classic,53,Clear,25.5
285,2026-01-17,Bengaluru,BEN-10,Member,Classic,32,Clear,25.5
286,2026-01-17,Bengaluru,BEN-11,Casual,Classic,31,Clear,25.5
287,2026-01-17,Bengaluru,BEN-10,Casual,Classic,49,Clear,25.5
288,2026-01-17,Bengaluru,BEN-06,Casual,Electric,41,Clear,25.5
289,2026-01-18,Coimbatore,COI-12,Casual,Classic,58,Clear,23.9
290,2026-01-18,Coimbatore,COI-03,Member,Classic,28,Clear,23.9
291,2026-01-18,Coimbatore,COI-06,Member,Electric,19,Clear,23.9
292,2026-01-18,Coimbatore,COI-11,Casual,Electric,39,Clear,23.9
293,2026-01-18,Coimbatore,COI-10,Casual,Classic,44,Clear,23.9
294,2026-01-18,Coimbatore,COI-02,Member,Electric,25,Clear,23.9
295,2026-01-18,Chennai,CHE-10,Casual,Classic,16,Rain,29.0
296,2026-01-18,Chennai,CHE-06,Casual,Electric,20,Rain,29.0
297,2026-01-18,Chennai,CHE-08,Casual,Electric,25,Rain,29.0
298,2026-01-18,Chennai,CHE-10,Casual,Electric,26,Rain,29.0
299,2026-01-18,Chennai,CHE-01,Member,Classic,12,Rain,29.0
300,2026-01-18,Chennai,CHE-11,Casual,Classic,30,Rain,29.0
301,2026-01-18,Chennai,CHE-08,Casual,Electric,19,Rain,29.0
302,2026-01-18,Bengaluru,BEN-08,Casual,Classic,32,Clear,28.1
303,2026-01-18,Bengaluru,BEN-06,Casual,Electric,23,Clear,28.1
304,2026-01-18,Bengaluru,BEN-11,Casual,Classic,46,Clear,28.1
305,2026-01-18,Bengaluru,BEN-09,Member,Classic,17,Clear,28.1
306,2026-01-18,Bengaluru,BEN-05,Casual,Classic,44,Clear,28.1
307,2026-01-18,Bengaluru,BEN-11,Casual,Electric,39,Clear,28.1
308,2026-01-18,Bengaluru,BEN-02,Casual,Classic,37,Clear,28.1
309,2026-01-19,Coimbatore,COI-10,Member,Electric,21,Clear,27.7
310,2026-01-19,Coimbatore,COI-05,Member,Electric,15,Clear,27.7
311,2026-01-19,Coimbatore,COI-02,Casual,Electric,24,Clear,27.7
312,2026-01-19,Coimbatore,COI-06,Member,Classic,22,Clear,27.7
313,2026-01-19,Coimbatore,COI-11,Casual,Electric,38,Clear,27.7
314,2026-01-19,Coimbatore,COI-11,Casual,Classic,20,Clear,27.7
315,2026-01-19,Chennai,CHE-04,Member,Electric,14,Clear,25.5
316,2026-01-19,Chennai,CHE-02,Member,Classic,24,Clear,25.5
317,2026-01-19,Chennai,CHE-12,Member,Electric,12,Clear,25.5
318,2026-01-19,Chennai,CHE-06,Casual,Classic,32,Clear,25.5
319,2026-01-19,Chennai,CHE-03,Casual,Electric,28,Clear,25.5
320,2026-01-19,Chennai,CHE-03,Casual,Electric,29,Clear,25.5
321,2026-01-19,Bengaluru,BEN-08,Casual,Electric,22,Clear,25.6
322,2026-01-19,Bengaluru,BEN-08,Member,Classic,13,Clear,25.6
323,2026-01-19,Bengaluru,BEN-08,Casual,Classic,27,Clear,25.6
324,2026-01-19,Bengaluru,BEN-07,Member,Classic,13,Clear,25.6
325,2026-01-19,Bengaluru,BEN-10,Member,Classic,20,Clear,25.6
326,2026-01-19,Bengaluru,BEN-11,Member,Classic,21,Clear,25.6
327,2026-01-19,Bengaluru,BEN-09,Member,Classic,24,Clear,25.6
328,2026-01-20,Coimbatore,COI-03,Member,Electric,15,Clear,28.1
329,2026-01-20,Coimbatore,COI-06,Casual,Classic,44,Clear,28.1
330,2026-01-20,Coimbatore,COI-07,Casual,Classic,24,Clear,28.1
331,2026-01-20,Chennai,CHE-11,Member,Classic,26,Clear,31.5
332,2026-01-20,Chennai,CHE-01,Member,Classic,14,Clear,31.5
333,2026-01-20,Chennai,CHE-12,Member,Electric,17,Clear,31.5
334,2026-01-20,Chennai,CHE-02,Member,Electric,16,Clear,31.5
335,2026-01-20,Chennai,CHE-10,Member,Classic,24,Clear,31.5
336,2026-01-20,Bengaluru,BEN-07,Member,Classic,27,Clear,25.3
337,2026-01-20,Bengaluru,BEN-08,Member,Electric,26,Clear,25.3
338,2026-01-20,Bengaluru,BEN-09,Member,Classic,21,Clear,25.3
339,2026-01-20,Bengaluru,BEN-06,Member,Electric,18,Clear,25.3
340,2026-01-20,Bengaluru,BEN-11,Member,Classic,18,Clear,25.3
341,2026-01-20,Bengaluru,BEN-09,Member,Classic,11,Clear,25.3
342,2026-01-20,Bengaluru,BEN-09,Member,Electric,27,Clear,25.3
343,2026-01-21,Coimbatore,COI-02,Member,Electric,18,Clear,26.5
344,2026-01-21,Coimbatore,COI-11,Member,Electric,19,Clear,26.5
345,2026-01-21,Coimbatore,COI-06,Member,Classic,18,Clear,26.5
346,2026-01-21,Chennai,CHE-12,Casual,Classic,28,Cloudy,26.7
347,2026-01-21,Chennai,CHE-08,Member,Classic,23,Cloudy,26.7
348,2026-01-21,Chennai,CHE-04,Member,Classic,23,Cloudy,26.7
349,2026-01-21,Chennai,CHE-09,Casual,Classic,29,Cloudy,26.7
350,2026-01-21,Chennai,CHE-11,Member,Classic,22,Cloudy,26.7
351,2026-01-21,Bengaluru,BEN-07,Member,Electric,17,Clear,28.8
352,2026-01-21,Bengaluru,BEN-07,Casual,Electric,46,Clear,28.8
353,2026-01-21,Bengaluru,BEN-09,Member,Classic,16,Clear,28.8
354,2026-01-21,Bengaluru,BEN-07,Member,Classic,14,Clear,28.8
355,2026-01-21,Bengaluru,BEN-06,Member,Electric,20,Clear,28.8
356,2026-01-22,Coimbatore,COI-07,Member,Electric,13,Clear,27.8
357,2026-01-22,Coimbatore,COI-06,Member,Classic,11,Clear,27.8
