Order ID,Order Date,Region,Sales
ORD100381,2024-07-29,Germany,6900.11
ORD100257,2024-08-02,United Arab Emirates,6309.23
ORD100510,2024-08-06,Australia,7566.5
ORD100208,2024-08-07,France,4803.27
ORD100119,2024-08-07,Japan,6105.73
ORD100453,2024-08-10,Germany,10640.28
ORD100461,2024-08-10,United Arab Emirates,6616.27
ORD100334,2024-08-13,Canada,5099.06
ORD100011,2024-08-14,Germany,6931.72
ORD100038,2024-08-16,Brazil,3463.27
ORD100191,2024-08-17,Australia,5934.49
ORD100199,2024-08-17,Australia,5922.47
ORD100152,2024-08-18,India,6045.15
ORD100408,2024-08-19,United States,5922.81
ORD100366,2024-08-27,Japan,6885.14
ORD100305,2024-08-29,Canada,4823.64
ORD100416,2024-08-30,India,6015.98
ORD100587,2024-09-02,France,5135.74
ORD100075,2024-09-05,France,4524.62
ORD100546,2024-09-07,Australia,5735.04
ORD100284,2024-09-08,Brazil,6365.35
ORD100474,2024-09-12,United States,8659.77
ORD100484,2024-09-14,United Kingdom,5403.99
ORD100170,2024-09-20,Germany,6116.66
ORD100052,2024-09-21,United States,8156.61
ORD100324,2024-09-24,France,5627.68
ORD100512,2024-09-24,France,6107.36
ORD100019,2024-09-27,Canada,6885.16
ORD100027,2024-09-29,Brazil,5675.4
ORD100457,2024-09-29,Canada,5678.2
ORD100106,2024-10-03,India,5273.28
ORD100099,2024-10-03,Japan,6987.94
ORD100166,2024-10-04,Japan,4949.33
ORD100562,2024-10-04,United States,10024.7
ORD100252,2024-10-07,United Kingdom,5024.19
ORD100579,2024-10-11,Brazil,6240.27
ORD100582,2024-10-12,United Kingdom,6722.95
ORD100014,2024-10-15,Canada,7942.02
ORD100290,2024-10-18,Canada,8003.73
ORD100338,2024-10-18,India,4968.46
ORD100142,2024-10-18,United States,8474.02
ORD100314,2024-10-20,India,3705.72
ORD100478,2024-10-22,Canada,6894.37
ORD100008,2024-10-23,United Arab Emirates,6463.86
ORD100359,2024-10-25,Canada,5977.57
ORD100183,2024-10-27,Australia,7426.1
ORD100584,2024-10-29,Australia,6251.66
ORD100568,2024-10-29,United Kingdom,6809.98
ORD100398,2024-10-31,United Kingdom,5032.07
ORD100321,2024-11-05,Japan,6690.76
ORD100158,2024-11-05,United Arab Emirates,8283.29
ORD100265,2024-11-08,Australia,6787.24
ORD100291,2024-11-10,France,5204.05
ORD100517,2024-11-11,Japan,6142.41
ORD100304,2024-11-15,France,3945.62
ORD100197,2024-11-16,Germany,5230.39
ORD100157,2024-11-17,Canada,7314.8
ORD100121,2024-11-18,Brazil,6534.27
ORD100241,2024-11-21,United Kingdom,6766.31
ORD100057,2024-11-22,United States,7756.49
ORD100231,2024-11-23,United States,7913.9
ORD100353,2024-11-25,Canada,6414.11
ORD100294,2024-11-25,Germany,6842.45
ORD100282,2024-11-29,Australia,4738.98
ORD100016,2024-11-30,United States,6486.68
ORD100507,2024-12-01,France,7256.28
ORD100508,2024-12-03,Canada,5997.11
ORD100336,2024-12-12,United Kingdom,4538.29
ORD100251,2024-12-13,Germany,5005.92
ORD100539,2024-12-13,Japan,3918.74
ORD100513,2024-12-14,United Arab Emirates,7630.22
ORD100326,2024-12-16,India,3201.01
ORD100376,2024-12-18,India,6908.64
ORD100205,2024-12-20,United Kingdom,7511.35
ORD100090,2024-12-21,Brazil,6011.73
ORD100089,2024-12-21,France,5461.23
ORD100535,2024-12-26,Brazil,5160.29
ORD100174,2024-12-27,Australia,5133.75
ORD100248,2024-12-29,Brazil,4525.05
ORD100548,2024-12-29,United Kingdom,5913.17
ORD100013,2024-12-31,Australia,7054.73
ORD100054,2024-12-31,Germany,4303.67
ORD100156,2025-01-02,United Kingdom,4865.35
ORD100228,2025-01-02,United Kingdom,7295.3
ORD100553,2025-01-03,Germany,4704.08
ORD100022,2025-01-04,United Kingdom,6044.67
ORD100365,2025-01-08,Japan,5080.18
ORD100280,2025-01-09,Australia,7726.38
ORD100029,2025-01-13,France,6733.38
ORD100112,2025-01-13,United States,8516.86
ORD100346,2025-01-16,Japan,5635.94
ORD100379,2025-01-17,Canada,7380.46
ORD100093,2025-01-17,United Arab Emirates,9241.93
ORD100500,2025-01-17,United States,9748.86
ORD100438,2025-01-22,Brazil,6045.92
ORD100131,2025-01-23,Japan,8523.87
ORD100451,2025-01-25,Brazil,6015.0
ORD100396,2025-01-26,Canada,6427.13
ORD100586,2025-01-29,United States,8593.9
ORD100049,2025-01-30,Brazil,4622.88
ORD100414,2025-02-03,Canada,5910.02
ORD100581,2025-02-06,Brazil,6709.93
ORD100330,2025-02-08,United Kingdom,6866.42
ORD100224,2025-02-09,United Kingdom,5476.01
ORD100504,2025-02-10,Canada,7301.07
ORD100516,2025-02-11,Brazil,6796.62
ORD100426,2025-02-12,United Arab Emirates,5406.67
ORD100452,2025-02-15,Australia,6613.26
ORD100128,2025-02-16,United States,8550.09
ORD100555,2025-02-18,Australia,6804.62
ORD100315,2025-02-18,Canada,6910.0
ORD100031,2025-02-20,United Arab Emirates,7771.71
ORD100004,2025-02-21,France,4397.61
ORD100023,2025-02-23,Japan,5814.61
ORD100357,2025-02-24,Brazil,2476.83
ORD100455,2025-02-24,Canada,4361.13
ORD100136,2025-02-25,United Arab Emirates,6665.46
ORD100400,2025-02-27,France,4131.96
ORD100597,2025-02-27,United States,7414.52
ORD100533,2025-03-01,United States,8802.5
ORD100385,2025-03-04,France,6665.52
ORD100388,2025-03-09,Japan,6962.83
ORD100147,2025-03-12,Japan,8031.61
ORD100179,2025-03-13,France,8261.59
ORD100172,2025-03-13,Germany,6106.53
ORD100153,2025-03-16,India,7089.53
ORD100361,2025-03-17,Brazil,5558.41
ORD100454,2025-03-17,United States,9216.93
ORD100520,2025-03-18,Japan,8156.55
ORD100372,2025-03-19,Germany,8938.33
ORD100109,2025-03-21,France,7112.26
ORD100296,2025-03-27,Brazil,6267.77
ORD100058,2025-03-31,Japan,8563.59
ORD100043,2025-04-04,Germany,6028.86
ORD100383,2025-04-08,Brazil,3695.95
ORD100503,2025-04-10,Brazil,4407.17
ORD100355,2025-04-12,Canada,4599.42
ORD100575,2025-04-14,Australia,7729.43
ORD100028,2025-04-14,United States,8990.08
ORD100445,2025-04-15,Japan,7159.1
ORD100042,2025-04-16,France,6475.02
ORD100471,2025-04-21,Australia,6134.19
ORD100200,2025-04-23,India,6597.38
ORD100281,2025-04-25,Germany,6411.23
ORD100162,2025-04-27,France,5806.94
ORD100312,2025-04-28,Brazil,5946.03
ORD100462,2025-04-28,United Arab Emirates,8821.89
ORD100399,2025-05-02,France,7796.44
ORD100370,2025-05-05,India,6889.11
ORD100320,2025-05-06,Japan,7453.76
ORD100270,2025-05-09,Germany,7435.6
ORD100526,2025-05-09,United Kingdom,6592.21
ORD100480,2025-05-12,Brazil,6406.32
ORD100477,2025-05-15,Japan,5583.29
ORD100407,2025-05-17,Australia,6213.27
ORD100025,2025-05-23,Australia,6845.85
ORD100268,2025-05-25,Brazil,5083.09
ORD100302,2025-05-26,India,5950.98
ORD100592,2025-05-27,United Arab Emirates,5146.12
ORD100041,2025-06-05,Australia,5889.06
ORD100481,2025-06-06,United Arab Emirates,7283.73
ORD100237,2025-06-07,United Kingdom,7047.57
ORD100087,2025-06-08,France,6449.06
ORD100313,2025-06-08,United Arab Emirates,8556.78
ORD100110,2025-06-11,India,7020.13
ORD100212,2025-06-13,India,3886.6
ORD100201,2025-06-14,Brazil,4787.93
ORD100447,2025-06-15,United Kingdom,5481.42
ORD100583,2025-06-15,United Kingdom,5975.14
ORD100349,2025-06-18,Brazil,2313.5
ORD100215,2025-06-19,Brazil,5762.32
ORD100072,2025-06-20,United States,11025.54
ORD100100,2025-06-23,France,5888.25
ORD100570,2025-06-25,Brazil,4903.2
ORD100176,2025-06-29,France,8089.22
ORD100443,2025-07-01,United Arab Emirates,6539.21
ORD100430,2025-07-03,Japan,5400.35
ORD100107,2025-07-03,United Arab Emirates,6414.84
ORD100207,2025-07-09,India,5641.9
ORD100259,2025-07-13,Canada,5256.74
ORD100155,2025-07-13,Germany,6266.83
ORD100419,2025-07-17,Australia,6126.92
ORD100545,2025-07-17,United States,7382.26
ORD100064,2025-07-18,Brazil,5862.9
ORD100059,2025-07-19,United States,8215.22
ORD100274,2025-07-20,Japan,8272.76
ORD100377,2025-07-25,Canada,6431.7
ORD100181,2025-07-29,United Kingdom,5916.76
ORD100068,2025-07-30,Australia,6830.74
ORD100295,2025-07-31,Japan,5142.09
ORD100293,2025-07-31,United States,8750.35
ORD100446,2025-08-02,Canada,5049.31
ORD100175,2025-08-06,Canada,7074.76
ORD100217,2025-08-07,Germany,4100.0
ORD100523,2025-08-08,United States,7507.69
ORD100552,2025-08-09,United Kingdom,4839.69
ORD100577,2025-08-10,Germany,4554.79
ORD100103,2025-08-10,India,4932.05
ORD100184,2025-08-13,United Kingdom,6624.3
ORD100080,2025-08-22,Brazil,8032.09
ORD100522,2025-08-22,Brazil,8221.6
ORD100360,2025-08-23,Canada,3880.53
ORD100277,2025-08-24,Brazil,3741.36
ORD100303,2025-08-24,Japan,4110.34
ORD100070,2025-08-25,Brazil,4675.03
ORD100354,2025-08-28,Canada,6525.3
ORD100599,2025-08-28,Germany,6594.06
ORD100033,2025-08-28,India,5731.76
ORD100085,2025-09-09,United Kingdom,6286.72
ORD100071,2025-09-10,Canada,7427.43
ORD100472,2025-09-11,Australia,7408.03
ORD100026,2025-09-12,India,2790.28
ORD100558,2025-09-13,Brazil,4968.36
ORD100063,2025-09-14,India,5874.51
ORD100140,2025-09-14,United States,10358.09
ORD100596,2025-09-15,United Arab Emirates,9433.89
ORD100424,2025-09-19,Brazil,5195.37
ORD100298,2025-09-23,Australia,6631.51
ORD100550,2025-09-24,Australia,4526.1
ORD100039,2025-09-24,France,4990.21
ORD100120,2025-09-26,Brazil,5100.42
ORD100032,2025-09-27,Canada,6556.12
ORD100263,2025-09-27,France,7825.66
ORD100129,2025-09-29,India,6157.42
ORD100067,2025-09-29,United Kingdom,6866.16
ORD100440,2025-09-30,Brazil,4400.87
ORD100572,2025-10-01,United Arab Emirates,9037.5
ORD100074,2025-10-02,Germany,5073.98
ORD100192,2025-10-02,Germany,4173.46
ORD100276,2025-10-06,India,4175.15
ORD100412,2025-10-08,India,3787.86
ORD100319,2025-10-08,United Arab Emirates,6331.11
ORD100576,2025-10-08,United States,6950.72
ORD100115,2025-10-13,Brazil,5294.81
ORD100271,2025-10-13,India,7019.72
ORD100139,2025-10-14,Canada,6234.52
ORD100409,2025-10-14,France,7327.45
ORD100450,2025-10-14,Germany,7275.01
ORD100159,2025-10-17,United States,8079.58
ORD100389,2025-10-18,France,2565.44
ORD100536,2025-10-18,France,7958.62
ORD100101,2025-10-19,United States,9688.94
ORD100160,2025-10-21,United Kingdom,5414.42
ORD100352,2025-10-23,United States,7601.85
ORD100279,2025-10-26,Brazil,5469.53
ORD100499,2025-10-28,Australia,7002.75
ORD100287,2025-10-29,Australia,6597.09
ORD100044,2025-10-29,United Kingdom,5183.27
ORD100363,2025-11-01,France,5459.84
ORD100375,2025-11-03,India,5795.99
ORD100367,2025-11-04,Australia,8291.13
ORD100574,2025-11-07,United Kingdom,7892.65
ORD100167,2025-11-13,Brazil,2230.77
ORD100515,2025-11-16,United Kingdom,6998.47
ORD100046,2025-11-17,Canada,5478.55
ORD100467,2025-11-18,France,7516.77
ORD100593,2025-11-19,France,5209.4
ORD100269,2025-11-21,United States,6297.08
ORD100036,2025-11-22,Germany,6594.99
ORD100278,2025-11-27,France,5944.67
ORD100364,2025-11-30,India,4226.68
ORD100086,2025-12-02,India,8225.87
ORD100034,2025-12-05,Brazil,4613.86
ORD100436,2025-12-08,Brazil,6090.36
ORD100020,2025-12-08,India,5958.85
ORD100307,2025-12-11,Germany,7655.71
ORD100256,2025-12-11,Japan,7967.46
ORD100479,2025-12-14,United Arab Emirates,9626.77
ORD100002,2025-12-18,Australia,7367.91
ORD100137,2025-12-21,Australia,6297.1
ORD100495,2025-12-22,Japan,8541.09
ORD100600,2025-12-23,Brazil,4549.82
ORD100098,2025-12-23,Canada,5332.65
ORD100223,2025-12-26,Brazil,5821.52
ORD100258,2025-12-27,Canada,5351.05
ORD100487,2025-12-29,Germany,9377.57
ORD100239,2025-12-29,United Kingdom,7302.9
ORD100530,2025-12-31,United Arab Emirates,6622.71
ORD100311,2026-01-01,France,6769.65
ORD100437,2026-01-01,Germany,10210.33
ORD100030,2026-01-01,Japan,8062.98
ORD100344,2026-01-01,Japan,9721.38
ORD100236,2026-01-05,France,6064.25
ORD100329,2026-01-05,United States,7169.27
ORD100135,2026-01-07,United States,10076.93
ORD100234,2026-01-08,France,6549.95
ORD100418,2026-01-14,United Kingdom,5654.74
ORD100557,2026-01-19,United Arab Emirates,7406.79
ORD100045,2026-01-22,Australia,4673.8
ORD100198,2026-01-24,Germany,7814.28
ORD100235,2026-01-27,Canada,8939.69
ORD100273,2026-01-27,Germany,5211.73
ORD100537,2026-01-27,United States,7845.16
ORD100219,2026-01-28,Germany,6747.25
ORD100083,2026-01-30,Germany,8251.56
ORD100373,2026-01-31,Germany,5945.22
ORD100003,2026-01-31,India,4984.12
ORD100065,2026-02-01,Brazil,6880.12
ORD100465,2026-02-02,Germany,9438.26
ORD100358,2026-02-02,India,6077.33
ORD100206,2026-02-04,Japan,7825.19
ORD100247,2026-02-05,United States,9093.08
ORD100534,2026-02-07,United States,7542.83
ORD100292,2026-02-09,France,6439.73
ORD100441,2026-02-15,India,5254.15
ORD100528,2026-02-17,Canada,7969.53
ORD100130,2026-02-18,United States,9263.17
ORD100161,2026-02-22,France,7229.01
ORD100078,2026-02-24,France,9291.16
ORD100195,2026-02-26,Canada,6482.04
ORD100272,2026-02-27,Brazil,9194.97
ORD100378,2026-02-27,France,4622.57
ORD100341,2026-03-03,Germany,6353.97
ORD100037,2026-03-04,France,4572.82
ORD100094,2026-03-05,Brazil,3395.5
ORD100001,2026-03-05,United States,10239.99
ORD100182,2026-03-06,Germany,5693.11
ORD100246,2026-03-06,United Kingdom,6308.65
ORD100343,2026-03-09,Japan,6760.13
ORD100405,2026-03-09,Japan,9686.79
ORD100348,2026-03-10,United Kingdom,6521.24
ORD100339,2026-03-15,France,4772.39
ORD100433,2026-03-16,Brazil,5143.95
ORD100171,2026-03-23,Australia,6513.64
ORD100554,2026-03-23,India,4483.46
ORD100589,2026-03-24,France,7176.25
ORD100047,2026-03-26,Brazil,4684.62
ORD100380,2026-03-30,Australia,6878.34
ORD100056,2026-04-03,United Arab Emirates,7887.42
ORD100084,2026-04-05,Canada,9218.41
ORD100096,2026-04-15,Canada,6326.65
ORD100460,2026-04-15,India,6343.0
ORD100316,2026-04-17,Brazil,6140.37
ORD100327,2026-04-17,United Arab Emirates,7044.01
ORD100073,2026-04-18,United Arab Emirates,9066.92
ORD100559,2026-04-18,United States,8977.2
ORD100511,2026-04-28,Australia,5942.11
ORD100494,2026-05-02,Australia,7165.69
ORD100425,2026-05-02,Canada,8797.68
ORD100300,2026-05-03,France,8443.2
ORD100469,2026-05-04,United Kingdom,7033.73
ORD100076,2026-05-05,Germany,8380.92
ORD100082,2026-05-06,Brazil,5818.86
ORD100351,2026-05-11,Australia,7322.64
ORD100514,2026-05-13,Brazil,7193.45
ORD100245,2026-05-17,United States,7650.94
ORD100250,2026-05-20,United Kingdom,6296.91
ORD100048,2026-05-21,France,6098.04
ORD100226,2026-05-22,Canada,5585.55
ORD100580,2026-05-22,Japan,7282.68
ORD100410,2026-05-25,Canada,7520.99
ORD100297,2026-05-27,Canada,6813.96
ORD100497,2026-05-27,Japan,6503.73
ORD100169,2026-05-30,United Kingdom,5413.71
ORD100442,2026-06-01,Germany,7546.66
ORD100062,2026-06-02,United Kingdom,8726.99
ORD100337,2026-06-03,United States,7677.55
ORD100105,2026-06-04,Canada,5964.13
ORD100423,2026-06-09,United Kingdom,7173.03
ORD100449,2026-06-09,United States,9939.8
ORD100232,2026-06-10,Germany,6619.17
ORD100306,2026-06-10,India,7546.91
ORD100123,2026-06-12,Germany,6131.43
ORD100138,2026-06-12,United Arab Emirates,8182.24
ORD100079,2026-06-13,Japan,6878.29
ORD100488,2026-06-15,Brazil,6488.72
ORD100458,2026-06-15,Germany,7174.5
ORD100165,2026-06-17,India,2981.15
ORD100133,2026-06-19,Japan,9761.46
ORD100527,2026-06-22,United Kingdom,6011.51
ORD100543,2026-06-23,Canada,7031.81
ORD100470,2026-06-26,France,6533.63
ORD100288,2026-06-27,Australia,9932.75
ORD100233,2026-06-29,France,6508.56
ORD100283,2026-06-29,France,8403.01
ORD100362,2026-06-30,United Arab Emirates,12381.99
ORD100173,2026-07-01,United Kingdom,7138.71
ORD100066,2026-07-02,Brazil,6237.42
ORD100384,2026-07-03,United Arab Emirates,8732.22
ORD100325,2026-07-04,Germany,6896.89
ORD100151,2026-07-05,United Arab Emirates,9050.64
ORD100435,2026-07-06,Germany,6028.72
ORD100521,2026-07-06,United Arab Emirates,6854.0
ORD100323,2026-07-08,Canada,6969.46
ORD100102,2026-07-08,United Arab Emirates,9059.96
ORD100420,2026-07-09,Australia,7742.72
ORD100369,2026-07-09,India,4029.78
ORD100116,2026-07-11,Australia,9215.7
ORD100498,2026-07-11,Canada,5351.28
ORD100444,2026-07-14,Australia,8060.56
ORD100518,2026-07-14,United Kingdom,10739.38
ORD100254,2026-07-20,United Kingdom,8056.15
ORD100403,2026-07-22,United Arab Emirates,9924.85
ORD100154,2026-07-26,Australia,7149.32
ORD100148,2026-07-28,India,7550.89
ORD100529,2026-07-30,Brazil,4717.32
ORD100411,2026-07-31,Canada,5992.02
ORD100544,2026-07-31,Canada,7161.52
ORD100249,2026-08-02,Japan,7723.77
ORD100566,2026-08-09,France,6337.15
ORD100506,2026-08-09,Japan,7917.06
ORD100483,2026-08-11,United Arab Emirates,8730.86
ORD100266,2026-08-14,United Kingdom,5733.5
ORD100163,2026-08-15,Germany,7577.75
ORD100594,2026-08-17,Canada,7040.32
ORD100127,2026-08-17,United Kingdom,6880.05
ORD100118,2026-08-19,United States,8220.85
ORD100285,2026-08-25,United Arab Emirates,7101.69
ORD100209,2026-08-30,United States,10039.52
ORD100009,2026-09-02,Japan,8306.71
ORD100340,2026-09-06,India,5862.95
ORD100299,2026-09-11,Brazil,4517.22
ORD100221,2026-09-14,Australia,8073.22
ORD100439,2026-09-17,Australia,7167.34
ORD100040,2026-09-17,Germany,7088.38
ORD100050,2026-09-17,Japan,7241.02
ORD100598,2026-09-19,Brazil,6022.36
ORD100122,2026-09-22,India,5780.42
ORD100220,2026-09-22,Japan,9705.19
ORD100524,2026-09-23,France,7893.29
ORD100571,2026-09-23,India,6655.0
ORD100464,2026-09-28,Japan,8929.57
ORD100216,2026-10-02,United States,9629.37
ORD100560,2026-10-07,Australia,7920.66
ORD100509,2026-10-09,Brazil,5431.84
ORD100542,2026-10-09,United States,9855.39
ORD100168,2026-10-13,France,6407.4
ORD100475,2026-10-14,India,5248.82
ORD100402,2026-10-22,Germany,8475.51
ORD100538,2026-10-25,United Arab Emirates,10966.71
ORD100203,2026-10-26,United States,8444.64
ORD100230,2026-10-27,United States,6579.7
ORD100519,2026-10-28,Canada,6002.67
ORD100541,2026-10-29,India,6632.51
ORD100342,2026-10-30,Japan,8584.23
ORD100055,2026-10-30,United Kingdom,6939.86
ORD100564,2026-10-30,United States,8556.71
ORD100227,2026-11-02,Brazil,5450.27
ORD100401,2026-11-03,Germany,6434.11
ORD100214,2026-11-06,United States,9585.62
ORD100549,2026-11-07,Germany,8748.89
ORD100501,2026-11-09,United Kingdom,6987.11
ORD100491,2026-11-12,Germany,7482.03
ORD100591,2026-11-14,Japan,6949.55
ORD100005,2026-11-15,India,6459.43
ORD100051,2026-11-15,United Kingdom,8435.04
ORD100194,2026-11-18,Japan,7479.51
ORD100021,2026-11-23,Japan,8520.22
ORD100113,2026-11-25,Canada,6769.6
ORD100225,2026-11-26,Japan,9977.8
ORD100024,2026-11-28,France,7730.55
ORD100095,2026-11-28,India,4357.55
ORD100328,2026-11-28,India,8086.12
ORD100468,2026-11-30,India,4875.02
ORD100088,2026-11-30,United Kingdom,8359.79
ORD100104,2026-12-01,Germany,7028.79
ORD100177,2026-12-01,Germany,7298.91
ORD100261,2026-12-03,United States,9918.38
ORD100091,2026-12-05,Australia,4239.49
ORD100242,2026-12-05,France,8272.53
ORD100060,2026-12-06,United States,9092.86
ORD100007,2026-12-07,France,6405.34
ORD100010,2026-12-09,United Arab Emirates,8971.54
ORD100493,2026-12-13,Brazil,5825.1
ORD100124,2026-12-13,Japan,5145.55
ORD100578,2026-12-13,United Kingdom,5532.5
ORD100345,2026-12-17,United States,7299.57
ORD100144,2026-12-21,Canada,8186.75
ORD100210,2026-12-21,United Kingdom,7317.23
ORD100456,2026-12-22,United Arab Emirates,7777.43
ORD100431,2026-12-23,United Kingdom,7726.14
ORD100301,2026-12-23,United States,8594.3
ORD100595,2026-12-25,Australia,8838.14
ORD100397,2026-12-26,India,3303.6
ORD100492,2026-12-26,Japan,7838.13
ORD100018,2026-12-29,United Arab Emirates,7967.15
ORD100525,2026-12-30,United Arab Emirates,8201.66
