Order ID,Order Date,Ship Date,Ship Mode,Customer Segment,Region,State,City,Product Category,Sub-Category,Sales,Profit,Quantity,Discount
ORD-2024-1436,02-04-2024,09-04-2024,Second Class,Corporate,North,Punjab,Amritsar,Technology,Copiers,2417.9,-196.95,3,0.3
ORD-2024-1467,02-04-2024,04-04-2024,Standard Class,Consumer,North,Rajasthan,Udaipur,Office Supplies,Binders,1436.19,33.91,10,0.3
ORD-2025-1315,02-04-2025,05-04-2025,Standard Class,Corporate,West,Madhya Pradesh,Bhopal,Furniture,Storage,1134.98,-50.69,8,0.2
ORD-2025-1380,02-04-2025,03-04-2025,Second Class,Consumer,South,Karnataka,Mysuru,Office Supplies,Labels,442.62,89.93,5,0.1
ORD-2025-1356,02-05-2025,07-05-2025,Standard Class,Corporate,South,Kerala,Kochi,Technology,Accessories,10401.02,730.55,9,0.15
ORD-2025-1385,02-05-2025,06-05-2025,Second Class,Home Office,South,Tamil Nadu,Chennai,Technology,Machines,19327.14,3572.71,9,0
ORD-2025-1454,02-06-2025,03-06-2025,Same Day,Home Office,East,West Bengal,Kolkata,Electronics,Cameras,10895.4,1296.78,9,0
ORD-2025-1276,02-07-2025,09-07-2025,Same Day,Corporate,South,Tamil Nadu,Coimbatore,Technology,Copiers,13059.26,1086.08,8,0.15
ORD-2025-1220,02-08-2025,09-08-2025,Standard Class,Corporate,East,Odisha,Bhubaneswar,Furniture,Storage,4851.73,-67.53,8,0.15
ORD-2025-1537,02-08-2025,06-08-2025,Standard Class,Corporate,West,Maharashtra,Nagpur,Technology,Copiers,16927.06,-40.56,11,0.2
ORD-2025-1567,02-08-2025,09-08-2025,Second Class,Consumer,West,Gujarat,Surat,Furniture,Storage,5345.46,568.9,9,0
ORD-2025-1217,02-09-2025,04-09-2025,Second Class,Home Office,South,Telangana,Hyderabad,Office Supplies,Labels,1020.81,284.47,7,0
ORD-2024-1067,02-10-2024,07-10-2024,Same Day,Corporate,North,Punjab,Ludhiana,Electronics,Wearables,318.41,19.71,3,0.1
ORD-2024-1375,02-10-2024,06-10-2024,Same Day,Consumer,East,Bihar,Patna,Office Supplies,Paper,1439.04,357.45,6,0
ORD-2025-1064,02-10-2025,07-10-2025,Second Class,Home Office,West,Maharashtra,Nagpur,Furniture,Bookcases,2239.81,-19.09,4,0.1
ORD-2025-1202,02-10-2025,06-10-2025,First Class,Consumer,North,Uttar Pradesh,Kanpur,Electronics,Wearables,3294.29,68.18,4,0.1
ORD-2025-1389,02-10-2025,04-10-2025,First Class,Corporate,West,Madhya Pradesh,Indore,Furniture,Storage,3525.34,-460.44,10,0.3
ORD-2025-1398,02-10-2025,03-10-2025,Standard Class,Consumer,South,Karnataka,Mysuru,Furniture,Bookcases,1419.22,198.88,11,0
ORD-2025-1470,02-10-2025,05-10-2025,Second Class,Home Office,East,West Bengal,Kolkata,Office Supplies,Labels,1130.09,207.39,7,0.1
ORD-2025-1132,02-11-2025,05-11-2025,Same Day,Corporate,North,Punjab,Amritsar,Office Supplies,Binders,388.48,88.94,6,0.1
ORD-2025-1405,02-11-2025,06-11-2025,Standard Class,Corporate,East,Odisha,Bhubaneswar,Furniture,Tables,1514.32,91.01,2,0.1
ORD-2024-1342,02-12-2024,07-12-2024,First Class,Corporate,East,West Bengal,Kolkata,Office Supplies,Labels,1698.91,187.29,12,0.15
ORD-2025-1130,02-12-2025,06-12-2025,Second Class,Consumer,North,Uttar Pradesh,Noida,Office Supplies,Paper,1569.92,107.11,8,0.2
ORD-2025-1334,02-12-2025,06-12-2025,Same Day,Home Office,South,Tamil Nadu,Madurai,Furniture,Tables,2601.85,46.51,4,0.15
ORD-2025-1471,03-01-2025,07-01-2025,Standard Class,Home Office,South,Kerala,Kochi,Furniture,Storage,2271.5,189.51,11,0
ORD-2025-1044,03-02-2025,07-02-2025,Second Class,Corporate,West,Madhya Pradesh,Indore,Electronics,Cameras,8517.41,383.17,12,0.15
ORD-2025-1427,03-03-2025,05-03-2025,First Class,Corporate,South,Tamil Nadu,Madurai,Office Supplies,Paper,1017.52,326.6,7,0
ORD-2025-1536,03-03-2025,05-03-2025,Standard Class,Corporate,East,Assam,Guwahati,Technology,Machines,10876.42,-277.62,12,0.2
ORD-2024-1362,03-04-2024,05-04-2024,First Class,Consumer,North,Punjab,Amritsar,Electronics,Audio,6652.8,125.17,10,0.1
ORD-2024-1251,03-05-2024,08-05-2024,First Class,Consumer,North,Punjab,Amritsar,Office Supplies,Labels,334.01,57.06,4,0.1
ORD-2024-1277,03-05-2024,07-05-2024,Second Class,Consumer,North,Rajasthan,Jaipur,Office Supplies,Paper,142.08,44.17,3,0
ORD-2024-1319,03-05-2024,07-05-2024,Same Day,Consumer,West,Maharashtra,Pune,Technology,Accessories,1768.77,-28.67,4,0.2
ORD-2024-1500,03-05-2024,06-05-2024,Second Class,Corporate,South,Tamil Nadu,Madurai,Furniture,Chairs,1370.67,191.39,7,0
ORD-2024-1275,03-06-2024,10-06-2024,Same Day,Home Office,West,Goa,Panaji,Technology,Phones,2402.69,-37.53,2,0.2
ORD-2025-1128,03-06-2025,08-06-2025,Same Day,Corporate,North,Uttar Pradesh,Lucknow,Electronics,Wearables,4204.1,-517.05,7,0.3
ORD-2025-1345,03-06-2025,10-06-2025,Second Class,Consumer,South,Telangana,Hyderabad,Technology,Phones,1406.83,49.96,10,0.15
ORD-2025-1528,03-06-2025,06-06-2025,Second Class,Home Office,East,Odisha,Bhubaneswar,Electronics,Wearables,4464.14,444.62,5,0.1
ORD-2024-1118,03-07-2024,05-07-2024,Second Class,Consumer,North,Rajasthan,Udaipur,Furniture,Bookcases,2881.76,267.01,8,0
ORD-2024-1408,03-07-2024,08-07-2024,Same Day,Corporate,East,Assam,Guwahati,Electronics,Audio,3063.55,-196.63,6,0.2
ORD-2024-1129,03-09-2024,10-09-2024,First Class,Consumer,East,West Bengal,Siliguri,Technology,Machines,2071.89,-169.5,2,0.3
ORD-2025-1452,03-10-2025,08-10-2025,Standard Class,Corporate,South,Telangana,Hyderabad,Office Supplies,Labels,1796.81,240.69,10,0.15
ORD-2025-1504,03-10-2025,10-10-2025,Second Class,Home Office,North,Uttar Pradesh,Noida,Office Supplies,Labels,55.99,13.51,1,0
ORD-2025-1515,03-10-2025,07-10-2025,Same Day,Home Office,South,Kerala,Kochi,Technology,Machines,1104.73,-85.36,1,0.3
ORD-2024-1181,03-11-2024,10-11-2024,Same Day,Home Office,West,Gujarat,Surat,Furniture,Tables,1586.96,200.34,8,0
ORD-2025-1449,03-12-2025,06-12-2025,Standard Class,Consumer,East,Bihar,Patna,Technology,Phones,8331.97,471.58,12,0.15
ORD-2025-1304,04-03-2025,05-03-2025,Standard Class,Corporate,North,Uttar Pradesh,Noida,Technology,Accessories,11743.3,1858.62,10,0
ORD-2025-1174,04-04-2025,08-04-2025,Second Class,Home Office,South,Kerala,Thiruvananthapuram,Electronics,Cameras,5288.18,39.43,11,0.2
ORD-2024-1492,04-05-2024,09-05-2024,Same Day,Consumer,South,Tamil Nadu,Coimbatore,Electronics,Cameras,4985.04,838.4,6,0
ORD-2024-1430,04-06-2024,06-06-2024,First Class,Home Office,West,Goa,Panaji,Technology,Machines,972.66,200.61,3,0
ORD-2025-1424,04-06-2025,11-06-2025,Standard Class,Consumer,North,Uttar Pradesh,Noida,Office Supplies,Labels,158.76,35.99,6,0.1
ORD-2024-1548,04-07-2024,07-07-2024,Same Day,Consumer,West,Goa,Panaji,Office Supplies,Binders,1717.94,483.47,7,0
ORD-2024-1227,04-08-2024,08-08-2024,Second Class,Home Office,East,West Bengal,Siliguri,Furniture,Storage,1501.0,187.22,5,0
ORD-2025-1166,04-08-2025,11-08-2025,Same Day,Corporate,East,Odisha,Bhubaneswar,Technology,Machines,4310.24,347.47,3,0.15
ORD-2024-1194,04-10-2024,05-10-2024,Standard Class,Consumer,North,Delhi,New Delhi,Furniture,Storage,9215.91,1473.91,11,0
ORD-2024-1244,04-10-2024,05-10-2024,Standard Class,Consumer,East,Odisha,Bhubaneswar,Electronics,Cameras,1501.12,48.54,2,0.15
ORD-2025-1225,04-10-2025,08-10-2025,Standard Class,Corporate,East,Odisha,Bhubaneswar,Office Supplies,Art,155.07,20.08,2,0.2
ORD-2025-1503,04-10-2025,07-10-2025,Standard Class,Home Office,North,Punjab,Amritsar,Technology,Phones,705.92,13.1,1,0.15
ORD-2025-1247,04-11-2025,08-11-2025,Second Class,Corporate,South,Telangana,Hyderabad,Electronics,Audio,15390.84,1699.07,12,0
ORD-2025-1293,04-11-2025,09-11-2025,First Class,Home Office,South,Kerala,Thiruvananthapuram,Office Supplies,Paper,88.88,13.58,2,0.1
ORD-2025-1233,04-12-2025,08-12-2025,Standard Class,Home Office,East,Odisha,Bhubaneswar,Electronics,Wearables,2596.7,296.03,2,0
ORD-2025-1323,04-12-2025,07-12-2025,Second Class,Home Office,South,Karnataka,Bengaluru,Technology,Machines,4882.8,73.28,3,0.2
ORD-2025-1550,04-12-2025,08-12-2025,Same Day,Consumer,North,Rajasthan,Udaipur,Office Supplies,Art,422.38,138.75,7,0
ORD-2024-1297,05-01-2024,09-01-2024,Same Day,Consumer,West,Goa,Panaji,Office Supplies,Binders,183.63,31.48,3,0.15
ORD-2025-1235,05-02-2025,08-02-2025,Second Class,Corporate,North,Uttar Pradesh,Lucknow,Office Supplies,Paper,587.92,105.0,4,0.1
ORD-2024-1038,05-04-2024,07-04-2024,Standard Class,Consumer,North,Uttar Pradesh,Noida,Technology,Machines,4236.04,-508.69,4,0.3
ORD-2024-1229,05-04-2024,12-04-2024,Second Class,Consumer,South,Telangana,Hyderabad,Electronics,Cameras,1158.06,192.76,2,0
ORD-2025-1184,05-05-2025,07-05-2025,Second Class,Home Office,North,Punjab,Ludhiana,Electronics,Audio,12740.4,1779.37,12,0
ORD-2024-1555,05-06-2024,08-06-2024,Same Day,Corporate,West,Maharashtra,Mumbai,Office Supplies,Art,220.33,-7.13,2,0.3
ORD-2025-1074,05-07-2025,09-07-2025,Same Day,Corporate,East,Bihar,Patna,Electronics,Cameras,3508.97,-405.84,9,0.3
ORD-2024-1016,05-09-2024,09-09-2024,Same Day,Corporate,West,Gujarat,Ahmedabad,Technology,Copiers,7182.96,1003.41,4,0
ORD-2024-1161,05-09-2024,06-09-2024,Standard Class,Consumer,East,Odisha,Bhubaneswar,Technology,Accessories,13559.85,2627.82,9,0
ORD-2024-1026,05-10-2024,08-10-2024,First Class,Home Office,East,West Bengal,Kolkata,Technology,Accessories,16441.68,2472.17,12,0
ORD-2024-1464,05-11-2024,10-11-2024,Second Class,Home Office,North,Rajasthan,Jaipur,Office Supplies,Binders,1061.46,173.93,10,0.1
ORD-2025-1479,05-11-2025,09-11-2025,Second Class,Corporate,East,West Bengal,Kolkata,Technology,Accessories,2629.53,547.61,3,0
ORD-2025-1359,05-12-2025,08-12-2025,First Class,Corporate,North,Delhi,New Delhi,Office Supplies,Paper,210.34,57.34,2,0
ORD-2025-1543,05-12-2025,07-12-2025,Same Day,Home Office,East,West Bengal,Kolkata,Furniture,Tables,1328.36,223.31,4,0
ORD-2024-1162,06-01-2024,11-01-2024,Same Day,Corporate,West,Goa,Panaji,Furniture,Tables,2381.1,107.84,3,0.1
ORD-2024-1329,06-01-2024,09-01-2024,First Class,Home Office,West,Goa,Panaji,Furniture,Bookcases,1387.17,118.42,3,0
ORD-2025-1392,06-03-2025,09-03-2025,Standard Class,Corporate,North,Punjab,Ludhiana,Office Supplies,Art,1580.0,436.66,8,0
ORD-2025-1063,06-04-2025,13-04-2025,First Class,Home Office,South,Karnataka,Bengaluru,Furniture,Storage,2834.65,264.04,5,0
ORD-2025-1218,06-04-2025,11-04-2025,Second Class,Corporate,South,Kerala,Thiruvananthapuram,Furniture,Bookcases,743.76,88.11,6,0
ORD-2025-1376,06-04-2025,08-04-2025,Standard Class,Home Office,West,Goa,Panaji,Electronics,Cameras,7062.64,-403.58,10,0.2
ORD-2025-1542,06-05-2025,09-05-2025,First Class,Consumer,West,Maharashtra,Mumbai,Technology,Phones,4525.8,958.13,6,0
ORD-2025-1209,06-06-2025,13-06-2025,Same Day,Corporate,West,Maharashtra,Mumbai,Furniture,Tables,4043.28,-212.18,10,0.2
ORD-2024-1591,06-07-2024,07-07-2024,Standard Class,Corporate,West,Maharashtra,Mumbai,Furniture,Tables,1117.44,-70.72,3,0.2
ORD-2025-1407,06-08-2025,13-08-2025,Standard Class,Home Office,South,Kerala,Kochi,Furniture,Tables,6170.04,-334.33,9,0.2
ORD-2024-1092,06-09-2024,08-09-2024,Second Class,Home Office,North,Punjab,Ludhiana,Furniture,Bookcases,2901.28,443.84,4,0
ORD-2025-1584,06-09-2025,08-09-2025,Same Day,Consumer,West,Madhya Pradesh,Indore,Office Supplies,Paper,995.32,117.17,5,0.2
ORD-2025-1013,06-11-2025,10-11-2025,Same Day,Consumer,West,Maharashtra,Nagpur,Technology,Accessories,6265.14,1145.06,3,0
ORD-2025-1439,06-11-2025,08-11-2025,Standard Class,Corporate,West,Maharashtra,Mumbai,Electronics,Wearables,880.38,155.75,3,0
ORD-2025-1494,06-12-2025,09-12-2025,Second Class,Consumer,South,Telangana,Hyderabad,Electronics,Wearables,7529.64,628.97,11,0.1
ORD-2025-1243,07-01-2025,11-01-2025,Same Day,Consumer,North,Delhi,New Delhi,Furniture,Storage,1752.64,-344.33,3,0.3
ORD-2024-1552,07-03-2024,10-03-2024,Same Day,Consumer,West,Madhya Pradesh,Indore,Technology,Accessories,12887.64,2442.16,6,0
ORD-2024-1429,07-07-2024,10-07-2024,First Class,Corporate,South,Telangana,Hyderabad,Office Supplies,Binders,505.63,26.77,3,0.2
ORD-2025-1459,07-07-2025,11-07-2025,Standard Class,Consumer,East,Odisha,Bhubaneswar,Furniture,Bookcases,109.44,7.7,1,0.1
ORD-2024-1138,07-08-2024,12-08-2024,Standard Class,Corporate,West,Maharashtra,Pune,Technology,Copiers,5597.68,796.35,8,0
ORD-2024-1573,07-08-2024,10-08-2024,Same Day,Home Office,South,Kerala,Kochi,Furniture,Tables,1541.29,-217.4,5,0.3
ORD-2024-1089,07-11-2024,11-11-2024,Same Day,Corporate,West,Maharashtra,Mumbai,Furniture,Chairs,595.75,-30.64,4,0.15
ORD-2024-1425,07-12-2024,11-12-2024,First Class,Corporate,South,Kerala,Kochi,Furniture,Bookcases,1207.77,126.43,3,0
ORD-2024-1335,08-02-2024,09-02-2024,Standard Class,Home Office,North,Punjab,Ludhiana,Office Supplies,Art,48.19,-0.71,3,0.3
ORD-2025-1256,08-02-2025,12-02-2025,Second Class,Consumer,North,Rajasthan,Jaipur,Furniture,Storage,1031.38,-2.8,11,0.1
ORD-2024-1116,08-03-2024,11-03-2024,Second Class,Corporate,West,Goa,Panaji,Technology,Machines,2954.75,202.15,11,0.1
ORD-2024-1284,08-03-2024,11-03-2024,Standard Class,Consumer,West,Goa,Panaji,Office Supplies,Paper,1251.88,385.64,7,0
ORD-2025-1018,08-03-2025,10-03-2025,Same Day,Home Office,South,Karnataka,Bengaluru,Office Supplies,Paper,205.07,10.73,4,0.3
ORD-2025-1231,08-03-2025,15-03-2025,Standard Class,Consumer,West,Maharashtra,Mumbai,Technology,Phones,755.14,127.1,2,0
ORD-2024-1540,08-04-2024,13-04-2024,First Class,Corporate,East,Bihar,Patna,Furniture,Bookcases,1666.92,139.51,3,0
ORD-2024-1545,08-04-2024,09-04-2024,Second Class,Home Office,East,West Bengal,Kolkata,Office Supplies,Binders,783.43,145.03,4,0.15
ORD-2025-1372,08-05-2025,11-05-2025,Same Day,Consumer,North,Delhi,New Delhi,Technology,Phones,9543.12,781.36,8,0.15
ORD-2024-1274,08-07-2024,11-07-2024,First Class,Corporate,West,Madhya Pradesh,Bhopal,Furniture,Storage,4836.6,554.17,6,0
ORD-2025-1173,08-07-2025,09-07-2025,Same Day,Consumer,South,Tamil Nadu,Chennai,Office Supplies,Binders,421.15,60.3,2,0.1
ORD-2024-1252,08-08-2024,11-08-2024,Same Day,Home Office,North,Punjab,Amritsar,Technology,Phones,4937.76,1120.08,12,0
ORD-2025-1272,08-08-2025,13-08-2025,Same Day,Consumer,East,Bihar,Patna,Furniture,Storage,2306.04,244.63,3,0
ORD-2025-1287,08-08-2025,10-08-2025,First Class,Home Office,North,Uttar Pradesh,Lucknow,Office Supplies,Paper,2364.89,704.19,11,0
ORD-2025-1112,08-10-2025,11-10-2025,Standard Class,Corporate,East,Odisha,Bhubaneswar,Furniture,Storage,7329.9,771.06,10,0
ORD-2024-1419,08-11-2024,10-11-2024,Same Day,Home Office,East,Odisha,Bhubaneswar,Office Supplies,Binders,1728.79,102.03,10,0.3
ORD-2024-1421,08-11-2024,12-11-2024,Second Class,Consumer,South,Telangana,Hyderabad,Office Supplies,Binders,722.64,219.68,6,0
ORD-2024-1561,08-11-2024,09-11-2024,Same Day,Home Office,South,Telangana,Hyderabad,Electronics,Audio,464.22,-1.11,1,0.15
ORD-2025-1119,08-11-2025,11-11-2025,Second Class,Consumer,North,Uttar Pradesh,Lucknow,Office Supplies,Binders,2197.2,636.58,10,0
ORD-2025-1055,08-12-2025,12-12-2025,Standard Class,Corporate,South,Kerala,Thiruvananthapuram,Office Supplies,Paper,1175.4,257.76,8,0.1
ORD-2025-1151,09-01-2025,10-01-2025,First Class,Consumer,West,Gujarat,Surat,Technology,Copiers,8000.37,115.73,10,0.15
ORD-2024-1033,09-02-2024,10-02-2024,Same Day,Home Office,North,Uttar Pradesh,Lucknow,Office Supplies,Art,725.57,93.34,6,0.2
ORD-2024-1281,09-02-2024,13-02-2024,Same Day,Corporate,East,Assam,Guwahati,Technology,Copiers,9446.93,-247.91,6,0.2
ORD-2024-1423,09-03-2024,13-03-2024,First Class,Consumer,South,Telangana,Hyderabad,Office Supplies,Binders,1284.28,65.87,11,0.3
ORD-2024-1148,09-04-2024,10-04-2024,Second Class,Consumer,West,Maharashtra,Pune,Office Supplies,Paper,372.89,8.03,7,0.3
ORD-2025-1355,09-04-2025,14-04-2025,Standard Class,Consumer,South,Karnataka,Mysuru,Furniture,Bookcases,2031.44,37.68,4,0.1
ORD-2025-1578,09-04-2025,16-04-2025,Same Day,Home Office,East,West Bengal,Siliguri,Office Supplies,Art,9.36,1.07,1,0.2
ORD-2025-1595,09-04-2025,16-04-2025,Standard Class,Home Office,South,Tamil Nadu,Chennai,Office Supplies,Labels,1912.16,96.72,10,0.2
ORD-2024-1526,09-05-2024,13-05-2024,Standard Class,Home Office,South,Tamil Nadu,Chennai,Electronics,Wearables,1304.97,203.9,3,0
ORD-2025-1082,09-05-2025,10-05-2025,First Class,Consumer,East,Assam,Guwahati,Furniture,Storage,2745.1,349.95,10,0
ORD-2025-1210,09-05-2025,10-05-2025,Second Class,Corporate,West,Madhya Pradesh,Indore,Office Supplies,Binders,154.76,48.46,2,0
ORD-2024-1271,09-06-2024,10-06-2024,First Class,Home Office,North,Rajasthan,Jaipur,Technology,Copiers,1250.56,213.76,4,0
ORD-2024-1510,09-06-2024,16-06-2024,Second Class,Consumer,South,Telangana,Hyderabad,Electronics,Wearables,3651.52,226.44,3,0.15
ORD-2025-1095,09-06-2025,14-06-2025,Standard Class,Home Office,North,Delhi,New Delhi,Office Supplies,Art,285.48,92.65,9,0
ORD-2024-1213,09-07-2024,16-07-2024,Second Class,Corporate,West,Madhya Pradesh,Indore,Technology,Accessories,10362.45,2111.23,7,0
ORD-2024-1391,09-07-2024,10-07-2024,Standard Class,Consumer,East,West Bengal,Kolkata,Furniture,Chairs,747.19,-49.43,3,0.2
ORD-2025-1021,09-07-2025,10-07-2025,Second Class,Consumer,South,Telangana,Hyderabad,Electronics,Wearables,1137.08,180.13,1,0
ORD-2025-1043,09-07-2025,13-07-2025,Standard Class,Home Office,South,Karnataka,Bengaluru,Office Supplies,Art,299.21,0.6,4,0.3
ORD-2025-1556,09-07-2025,12-07-2025,Standard Class,Corporate,South,Telangana,Hyderabad,Office Supplies,Art,1555.4,150.51,9,0.15
ORD-2024-1508,09-08-2024,14-08-2024,Second Class,Home Office,West,Madhya Pradesh,Indore,Electronics,Audio,5006.33,568.92,7,0
ORD-2025-1339,09-08-2025,14-08-2025,First Class,Consumer,East,West Bengal,Kolkata,Furniture,Chairs,3628.35,364.54,9,0
ORD-2024-1008,09-09-2024,16-09-2024,Same Day,Corporate,West,Madhya Pradesh,Bhopal,Furniture,Tables,2161.28,-111.4,5,0.2
ORD-2024-1158,09-09-2024,12-09-2024,Second Class,Home Office,East,Bihar,Patna,Technology,Accessories,5087.92,1053.8,4,0
ORD-2024-1134,09-11-2024,13-11-2024,First Class,Corporate,East,Bihar,Patna,Furniture,Bookcases,4019.05,558.55,7,0
ORD-2025-1509,09-12-2025,14-12-2025,Same Day,Corporate,East,Bihar,Patna,Office Supplies,Binders,58.83,18.54,3,0
ORD-2024-1308,10-01-2024,12-01-2024,Same Day,Home Office,East,Assam,Guwahati,Furniture,Chairs,1871.85,197.95,3,0
ORD-2025-1474,10-01-2025,11-01-2025,Standard Class,Home Office,South,Telangana,Hyderabad,Electronics,Wearables,13217.94,1063.89,10,0.1
ORD-2024-1332,10-02-2024,17-02-2024,Same Day,Corporate,North,Delhi,New Delhi,Office Supplies,Paper,1087.75,59.28,7,0.3
ORD-2024-1483,10-04-2024,13-04-2024,Second Class,Home Office,East,Assam,Guwahati,Office Supplies,Art,1041.45,226.32,7,0.1
ORD-2025-1069,10-04-2025,11-04-2025,Same Day,Home Office,West,Goa,Panaji,Technology,Phones,4562.94,1035.87,6,0
ORD-2024-1469,10-05-2024,13-05-2024,First Class,Consumer,East,West Bengal,Kolkata,Technology,Copiers,2079.54,270.52,9,0
ORD-2024-1501,10-06-2024,11-06-2024,Standard Class,Home Office,South,Tamil Nadu,Chennai,Furniture,Storage,1602.58,113.34,2,0
ORD-2025-1347,10-06-2025,12-06-2025,Second Class,Home Office,East,West Bengal,Kolkata,Technology,Accessories,2644.5,237.66,3,0.15
ORD-2025-1458,10-06-2025,11-06-2025,Second Class,Home Office,East,West Bengal,Kolkata,Electronics,Wearables,1823.1,-5.75,6,0.15
ORD-2025-1539,10-06-2025,12-06-2025,Second Class,Home Office,West,Goa,Panaji,Office Supplies,Binders,404.84,-12.37,3,0.3
ORD-2024-1234,10-09-2024,13-09-2024,First Class,Home Office,West,Goa,Panaji,Office Supplies,Paper,553.96,85.92,4,0.15
ORD-2024-1260,10-09-2024,17-09-2024,Standard Class,Consumer,West,Goa,Panaji,Electronics,Audio,2565.74,-233.16,9,0.3
ORD-2024-1394,10-09-2024,17-09-2024,Standard Class,Home Office,North,Punjab,Amritsar,Technology,Copiers,7878.67,894.48,4,0.1
ORD-2025-1316,10-09-2025,15-09-2025,Same Day,Corporate,West,Maharashtra,Nagpur,Office Supplies,Binders,1233.18,142.66,9,0.15
ORD-2024-1027,10-10-2024,11-10-2024,Second Class,Home Office,West,Goa,Panaji,Furniture,Storage,198.98,-2.39,3,0.2
ORD-2024-1093,10-10-2024,12-10-2024,Standard Class,Home Office,South,Karnataka,Mysuru,Technology,Phones,19564.29,4105.59,9,0
ORD-2024-1457,10-10-2024,15-10-2024,Second Class,Consumer,East,Odisha,Bhubaneswar,Furniture,Bookcases,2186.88,-214.83,8,0.2
ORD-2024-1065,10-11-2024,15-11-2024,Same Day,Home Office,South,Telangana,Hyderabad,Furniture,Tables,6941.5,790.74,10,0
ORD-2024-1294,10-11-2024,14-11-2024,First Class,Corporate,South,Telangana,Hyderabad,Furniture,Tables,4357.38,418.55,6,0
ORD-2025-1331,10-11-2025,13-11-2025,Same Day,Home Office,West,Maharashtra,Pune,Furniture,Tables,1757.35,290.02,5,0
